Life Expectancy  (Female) - In years,,,,,,,,,,
Country ,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,78.3,78.5,77.5,78.7,78.2,79.4,78.8,78.7,78.9,78.3
Cambodia,68.8,69.6,70.4,71.2,72,72.7,76.8,74.2,74.8,75.5
Indonesia,72.4,72.6,72.8,72.8,73.1,73.2,73.3,73.5,73.6,73.8
Lao,69,70,62,67,67,68,68,69,69,69
Malaysia,76.9,77,77.1,77,77.1,77.2,77.4,77.2,77,75.8
Myanmar,69.1,68.7,69.3,69.8,70.2,70.9,71.1,71.5,71.1,71.3
Phillipines,-,-,75.9,-,-,-,-,77.5,77.5,77.5
Singapore,84.5,84.8,85.1,85.1,85.4,85.5,85.9,85.9,85.5,85.2
Thailand,-,-,-,78.6,79.4,79.6,79.7,80.1,80.5,80.7
Vietnam,75.8,76,76.1,76.1,76.2,76.2,76.3,76.4,76.4,76.4
