Country,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,78,77.2,77.7,77.8,77.3,78.5,77.7,77.9,77.6,76.4
Cambodia,66.7,67.6,68.3,69.1,69.9,70.6,75.7,72,72.7,73.3
Indonesia,70.4,70.6,70.8,71.1,71.1,71.2,71.3,71.6,71.6,71.9
Lao,67,68,68,65,65,66,66,67,67,67
Malaysia,74.5,74.5,74.6,74.4,74.4,74.6,74.8,74.5,74.5,73.4
Myanmar,67.8,63.9,64.4,65,65.5,66.1,66.5,66.8,66.8,67.1
Phillipines,NA,NA,72.7,NA,NA,NA,NA,NA,NA,NA
Singapore,82.4,82.6,82.9,83,83.2,83.4,83.7,83.7,83.2,83
Thailand,NA,NA,NA,74.8,75.5,75.8,75.7,76.2,NA,NA
Vietnam,73.1,73.2,73.3,73.4,73.5,73.5,73.6,73.7,73.6,73.6
