Country ,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Brunei Darussalam,346649,352921,358930,364669,370884,377800,384964,392340,399395,405566,411206,416754,422224,427573,432788,437813,442687,447412,451723,455374,458959,
Cambodia(KHM),13050978,13244739,13439204,13639030,13841775,14053479,14276819,14500732,14722587,14945090,15170212,15396771,15623253,15852802,16073374,16274521,16481304,16725482,16974308,17201717,17423881,
Indonesia (IDN),225048004,227926647,230871649,233951650,237062339,240157901,243220024,246305326,249470029,252698526,255852466,258877397,261799249,264627428,267346655,269951847,272489379,274814864,276758056,278830529,281190068,
Lao (LAO),5697945,5781627,5869531,5963199,6056238,6148974,6241649,6334198,6426595,6518981,6611385,6703170,6801650,6908800,7018149,7128045,7237634,7346533,7453191,7559007,7665002,
Malaysia(MYS),24679604,25256771,25836073,26417906,26998384,27570054,28124780,28655771,29162033,29662835,30174269,30696133,31232796,31789694,32355642,32910962,33440588,33889555,34282405,34695494,35126295,
Myanmar(MMR),46667190,47068779,47438362,47785142,48125046,48390791,48660458,49024376,49419824,49837450,50262658,50681634,51089060,51495702,51894938,52272246,52640718,53016525,53387102,53756790,54133801,
Phillipines (PHL),84731838,86394513,88015957,89508993,91075179,92699093,94384256,96337126,98248616,100175512,102076337,103767129,105312986,106735723,108119693,109465284,110804685,112081271,113100946,113964342,114891200,
Singapore(SGP),4138241,4172766,4268361,4407064,4596515,4806742,4968573,5077019,5182242,5293344,5385589,5457899,5525343,5577937,5604087,5634367,5669562,5620150,5546292,5649886,5789091,
Thailand(THA),64868164,65452051,66017415,66567685,67102389,67619834,68121076,68579442,69007211,69436091,69845115,70216362,70540790,70859837,71160184,71376080,71522265,71641484,71727340,71735320,71702438,
Vietnam(VNM),79563778,80338978,81088309,82167900,83633377,85175789,86460023,87455150,88468314,89510357,90573104,91679583,92823254,94000115,95176979,96237319,97173778,98079196,98935101,99680656,100352189,
