Country ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
Brunei Darussalam,28.468,27.709,26.674,25.572,24.479,23.37,22.375,21.611,20.999,20.351,19.803,19.298,18.685,18.036,17.365,16.713,16.262,15.943,16.015,16.241,16.577,16.966,17.096,16.913,16.627,16.239,15.785,15.334,14.924,14.572,14.284,14.06,13.847,13.59,,
Cambodia,46.37,45.761,43.999,44.443,42.345,38.818,35.811,31.67,30.36,29.12,28.466,28.11,27.528,26.88,26.261,26.104,26.127,26.209,25.88,25.625,25.036,24.631,24.578,24.56,24.403,24.218,23.956,23.655,23.372,22.988,22.409,21.905,21.279,20.752,,
Indonesia,25.808,25.546,24.822,24.533,24.263,24.029,23.889,23.6,22.967,22.21,21.688,21.386,21.107,20.834,20.796,21.018,20.943,20.968,20.511,20.375,20.362,20.611,20.41,19.643,19.091,18.569,18.138,17.54,17.146,16.909,16.674,16.417,16.204,15.941,,
Lao,42.489,42.206,41.745,41.231,39.999,38.469,37.231,36.182,35.091,34.19,32.901,32.112,31.18,30.66,30.075,28.788,28.365,28.124,27.882,27.569,27.195,26.777,26.174,25.623,25.049,24.962,24.567,24.117,23.599,23.151,22.618,22.147,21.693,21.271,,
Malaysia,26.219,26.513,26.793,26.757,26.59,26.3,26.07,25.401,24.378,23.765,22.603,21.401,20.089,19.55,18.682,17.94,17.395,17.091,17.356,17.29,16.906,17.186,17.002,16.761,16.724,16.336,15.789,15.329,14.808,14.233,13.393,12.385,12.394,12.412,,
Myanmar,27.234,26.947,26.529,26.148,25.649,25.165,24.731,24.262,23.785,23.393,23.164,23.06,22.892,22.252,21.531,20.966,20.599,20.373,19.993,19.681,19.365,19.086,18.819,18.684,18.551,18.608,18.561,18.341,18.054,17.774,17.456,17.201,16.912,16.696,,
Phillipines,34.516,34.257,33.074,32.598,32.269,32.066,31.361,30.818,30.237,29.836,29.285,29.145,28.534,28.101,27.629,27.154,27.419,27,27.12,26.987,26.564,26.007,25.22,24.56,23.404,22.933,21.76,20.571,19.418,18.104,17.017,16.108,16.057,16.019,,
Singapore,16.591,15.72,15.56,15.512,15.027,14.512,14.09,13.364,12.16,11.873,12.696,11.168,11.082,10.14,9.864,9.746,9.613,9.497,9.248,8.96,8.399,8.68,9.243,8.486,8.893,8.621,8.354,8.334,8.471,8.374,8.383,8.226,7.995,8.2,,
Thailand,19.622,19.452,19.19,18.744,18.238,17.676,17.254,16.83,16.277,15.585,15.027,14.665,14.335,14.053,13.82,13.488,13.208,12.926,12.525,12.188,12.009,11.943,11.758,11.367,10.95,10.594,10.111,9.765,9.4,9.056,8.792,8.544,8.38,8.245,,
Vietnam,28.896,28.489,27.342,26.094,24.452,22.727,21.012,19.573,18.254,17.591,18.018,18.095,18.095,18.151,17.996,17.369,17.249,17.537,17.664,17.528,17.409,17.588,17.892,17.888,18.671,18.498,17.313,16.764,15.438,15.513,15.234,14.735,14.272,13.831,,
